player_key,name,position,week,started,team_key,manager_name,points,Passing Yards,Passing Touchdowns,Interceptions,Rushing Attempts,Rushing Yards,Rushing Touchdowns,Targets,Receptions,Receiving Yards,Receiving Touchdowns,Return Touchdowns,2-Point Conversions,Fumbles Lost,Offensive Fumble Return TD,Field Goals 0-19 Yards,Field Goals 20-29 Yards,Field Goals 30-39 Yards,Field Goals 40-49 Yards,Field Goals 50+ Yards,Point After Attempt Made,Points Allowed,Sack,Interception,Fumble Recovery,Touchdown,Safety,Block Kick,Kickoff and Punt Return Touchdowns,Points Allowed 0 points,Points Allowed 1-6 points,Points Allowed 7-13 points,Points Allowed 14-20 points,Points Allowed 21-27 points,Points Allowed 28-34 points,Points Allowed 35+ points,Extra Point Returned
390.p.28389,Jameis Winston,QB,1,True,390.l.1031063.t.7,Tony F,9.06,194.0,1.0,3.0,5.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,
390.p.26650,DeAndre Hopkins,WR,1,True,390.l.1031063.t.7,Tony F,31.1,0.0,0.0,0.0,0.0,0.0,0.0,13.0,8.0,111.0,2.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,
390.p.30197,Chris Godwin,WR,1,True,390.l.1031063.t.7,Tony F,14.3,0.0,0.0,0.0,0.0,0.0,0.0,6.0,3.0,53.0,1.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,
390.p.28398,Todd Gurley II,RB,1,True,390.l.1031063.t.7,Tony F,11.1,0.0,0.0,0.0,14.0,97.0,0.0,1.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,
390.p.30362,Chris Carson,RB,1,True,390.l.1031063.t.7,Tony F,24.0,0.0,0.0,0.0,15.0,46.0,1.0,7.0,6.0,34.0,1.0,0.0,0.0,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,
390.p.29269,Hunter Henry,TE,1,True,390.l.1031063.t.7,Tony F,10.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,4.0,60.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,
390.p.27658,James White,RB,1,False,390.l.1031063.t.7,Tony F,13.2,0.0,0.0,0.0,4.0,26.0,0.0,7.0,5.0,56.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,
390.p.28403,Melvin Gordon,RB,1,False,390.l.1031063.t.7,Tony F,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,
390.p.26804,Latavius Murray,RB,1,False,390.l.1031063.t.7,Tony F,12.7,0.0,0.0,0.0,6.0,43.0,1.0,3.0,2.0,4.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,
390.p.31014,Dante Pettis,WR,1,False,390.l.1031063.t.7,Tony F,1.7,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,7.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,
390.p.31021,Anthony Miller,WR,1,False,390.l.1031063.t.7,Tony F,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,
390.p.31073,Keke Coutee,WR,1,False,390.l.1031063.t.7,Tony F,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,
390.p.31030,James Washington,WR,1,False,390.l.1031063.t.7,Tony F,7.1,0.0,0.0,0.0,0.0,0.0,0.0,6.0,2.0,51.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,
390.p.29792,Ka'imi Fairbairn,K,1,True,390.l.1031063.t.7,Tony F,4.0,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,4.0,,,,,,,,,,,,,,,,
390.p.100021,Philadelphia,DEF,1,True,390.l.1031063.t.7,Tony F,1.0,,,,,,,,,,,,,,,,,,,,,27.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
390.p.29236,Carson Wentz,QB,1,True,390.l.1031063.t.8,Ben,31.02,313.0,3.0,0.0,4.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,
390.p.30209,Kenny Golladay,WR,1,True,390.l.1031063.t.8,Ben,14.2,0.0,0.0,0.0,0.0,0.0,0.0,9.0,4.0,42.0,1.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,
390.p.25755,Alshon Jeffery,WR,1,True,390.l.1031063.t.8,Ben,22.1,0.0,0.0,0.0,1.0,2.0,1.0,7.0,5.0,49.0,1.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,
390.p.30180,Alvin Kamara,RB,1,True,390.l.1031063.t.8,Ben,23.9,0.0,0.0,0.0,13.0,97.0,0.0,8.0,7.0,72.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,
390.p.31013,Kerryon Johnson,RB,1,True,390.l.1031063.t.8,Ben,8.2,0.0,0.0,0.0,16.0,49.0,0.0,2.0,2.0,13.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,
390.p.7924,Delanie Walker,TE,1,True,390.l.1031063.t.8,Ben,22.5,0.0,0.0,0.0,0.0,0.0,0.0,6.0,5.0,55.0,2.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,
390.p.30423,Austin Ekeler,RB,1,False,390.l.1031063.t.8,Ben,39.4,0.0,0.0,0.0,12.0,58.0,1.0,7.0,6.0,96.0,2.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,
390.p.24171,Antonio Brown,WR,1,False,390.l.1031063.t.8,Ben,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,
390.p.27591,Jarvis Landry,WR,1,False,390.l.1031063.t.8,Ben,11.7,0.0,0.0,0.0,1.0,10.0,0.0,7.0,4.0,67.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,
390.p.28493,Jamison Crowder,WR,1,False,390.l.1031063.t.8,Ben,24.3,0.0,0.0,0.0,1.0,4.0,0.0,17.0,14.0,99.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,
390.p.29560,Peyton Barber,RB,1,False,390.l.1031063.t.8,Ben,6.5,0.0,0.0,0.0,8.0,33.0,0.0,4.0,2.0,12.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,
390.p.27789,Trey Burton,TE,1,False,390.l.1031063.t.8,Ben,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,
390.p.29369,Dak Prescott,QB,1,False,390.l.1031063.t.8,Ben,41.4,405.0,4.0,0.0,4.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,
390.p.27369,Brett Maher,K,1,True,390.l.1031063.t.8,Ben,5.0,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,5.0,,,,,,,,,,,,,,,,
390.p.100018,New Orleans,DEF,1,True,390.l.1031063.t.8,Ben,7.0,,,,,,,,,,,,,,,,,,,,,28.0,6.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
390.p.5228,Tom Brady,QB,1,True,390.l.1031063.t.4,august,31.64,341.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,
390.p.9496,Julian Edelman,WR,1,True,390.l.1031063.t.4,august,16.38,32.0,0.0,0.0,1.0,8.0,0.0,11.0,6.0,83.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,
390.p.27548,Brandin Cooks,WR,1,True,390.l.1031063.t.4,august,5.9,0.0,0.0,0.0,0.0,0.0,0.0,6.0,2.0,39.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,
390.p.30121,Christian McCaffrey,RB,1,True,390.l.1031063.t.4,august,42.9,0.0,0.0,0.0,19.0,128.0,2.0,11.0,10.0,81.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,
390.p.31041,Royce Freeman,RB,1,True,390.l.1031063.t.4,august,7.1,0.0,0.0,0.0,10.0,56.0,0.0,1.0,1.0,5.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,
