name,team_key,number_of_moves,number_of_trades,clinched_playoffs,manager_name,division_id,draft_grade,rank,points_for,points_against,wins,losses
Nate's Dazzling Team,406.l.151652.t.8,31,0,True,nate,,A-,1,1779.7,1778.04,8,6
BigBootyBashers,406.l.151652.t.4,12,0,True,Zach,,A,2,1891.9,1740.22,10,4
HERE COMES AUSTIN RIVERRRRRSSS,406.l.151652.t.9,92,1,True,Jeff Big,,B,3,1668.12,1642.96,7,7
Kupp check,406.l.151652.t.10,29,1,True,Alex Zara,,C,4,2004.48,1639.7,11,3
Galloping Gobblers,406.l.151652.t.6,31,0,True,Steven,,C-,5,1750.0,1874.82,7,7
BAGG UP NAJEE,406.l.151652.t.3,52,1,True,Brian,,B,6,1940.86,1708.66,9,5
.,406.l.151652.t.1,32,1,False,Tony F,,C,7,1562.18,1638.46,5,9
Andrew's Team,406.l.151652.t.2,38,0,False,Andrew,,B-,8,1637.16,1754.9,6,8
Patriots 3.0,406.l.151652.t.11,22,0,False,carter,,C+,9,1676.9,1687.94,6,8
Got Trades?,406.l.151652.t.7,32,1,False,Ben,,C,10,1541.48,1664.34,4,10
Pwn Solo,406.l.151652.t.5,67,1,False,WH,,C-,11,1508.28,1756.28,6,8
Hym Newton,406.l.151652.t.12,7,0,False,hyman Cohen,,B,12,1685.34,1760.08,5,9
