name,team_key,manager_name,league_id,league_season,player_id
Chief Keefers,414.l.194005.t.3,Michael,1,2022,4
TOP SZN,414.l.194005.t.12,Diego,1,2022,1
Kuppin that ass,414.l.194005.t.6,Adam,1,2022,11
Uncle Rico,414.l.194005.t.9,Richard,1,2022,6
Stevie Bratwurst,414.l.194005.t.2,Steve,1,2022,8
Ryan’s One-Hitter,414.l.194005.t.8,imran,1,2022,12
Taking A Nap,414.l.194005.t.11,isaiah m,1,2022,13
Stevie Bratwurst,423.l.332174.t.2,Steve,1,2023,8
Patty McMayonnaise,423.l.332174.t.11,Patrick,1,2023,5
TOP SZN,423.l.332174.t.12,Diego,1,2023,1
HouseOfAZ,423.l.332174.t.6,Adam,1,2023,11
KillaKid_MofoGangsta,423.l.332174.t.5,Ryan,1,2023,7
Domestic Dispute,423.l.332174.t.4,Knighter05,1,2023,2
Uncle Rico,423.l.332174.t.9,Richard,1,2023,6
Sharcus,423.l.332174.t.10,Marcus,1,2023,3
Big Al,423.l.332174.t.7,Alex,1,2023,63
TITY BOI,423.l.332174.t.1,Tony F,1,2023,9
Ryan’s One-Hitter,423.l.332174.t.8,imran,1,2023,12
Horny Williamson,423.l.332174.t.3,Michael,1,2023,4
Tity Boi,390.l.1031063.t.7,Tony F,2,2019,9
MA THE MEATLOAF,390.l.1031063.t.8,Ben,2,2019,36
Patriots 2.0,390.l.1031063.t.4,august,2,2019,44
Zach's Fabulous Team,390.l.1031063.t.12,Zach,2,2019,43
Lamar and his bros,390.l.1031063.t.5,Brian,2,2019,37
Half Chubb,390.l.1031063.t.1,WH,2,2019,42
Steve/Zara not Geoff,390.l.1031063.t.6,Jeff Big,2,2019,39
Galloping Gobblers,390.l.1031063.t.10,Steven,2,2019,41
Andrew's Team,390.l.1031063.t.2,Andrew,2,2019,34
nate's Dazzling Team,390.l.1031063.t.11,nate,2,2019,46
Saquon beef,390.l.1031063.t.3,Alex Zara,2,2019,33
Smokin w/ Gordon,390.l.1031063.t.9,Joe,2,2019,40
Got Trades?,399.l.301184.t.8,Ben,2,2020,36
THICC N JUICY,399.l.301184.t.7,Tony F,2,2020,9
Galloping Gobblers,399.l.301184.t.10,Steven,2,2020,41
Andrew's Team,399.l.301184.t.2,Andrew,2,2020,34
