week,is_playoffs,is_consolation,team_1_key,team_1_nickname,team_1_points,team_1_projected_points,is_bye,team_2_key,team_2_nickname,team_2_points,team_2_projected_points
1,False,False,399.l.301184.t.8,Ben,132.18,130.76,False,399.l.301184.t.12,Zach,85.90,135.79
2,False,False,399.l.301184.t.8,Ben,158.0,136.34,False,399.l.301184.t.3,Alex Zara,128.78,134.87
3,False,False,399.l.301184.t.8,Ben,175.44,139.24,False,399.l.301184.t.5,Brian,110.90,141.23
4,False,False,399.l.301184.t.8,Ben,132.42,148.93,False,399.l.301184.t.2,Andrew,125.58,128.57
5,False,False,399.l.301184.t.8,Ben,102.22,133.9,False,399.l.301184.t.7,Tony F,102.62,125.75
6,False,False,399.l.301184.t.8,Ben,77.58,136.06,False,399.l.301184.t.4,august,92.62,112.40
7,False,False,399.l.301184.t.8,Ben,118.28,133.12,False,399.l.301184.t.11,nate,96.62,116.69
8,False,False,399.l.301184.t.8,Ben,100.96,131.47,False,399.l.301184.t.1,WH,96.54,124.16
9,False,False,399.l.301184.t.8,Ben,127.2,122.58,False,399.l.301184.t.9,Joe,93.72,90.41
10,False,False,399.l.301184.t.8,Ben,97.96,121.81,False,399.l.301184.t.6,Jeff Big,115.32,112.05
11,False,False,399.l.301184.t.8,Ben,160.5,123.66,False,399.l.301184.t.10,Steven,137.00,138.31
12,False,False,399.l.301184.t.8,Ben,142.98,140.02,False,399.l.301184.t.12,Zach,108.04,129.38
13,False,False,399.l.301184.t.8,Ben,142.4,134.57,False,399.l.301184.t.3,Alex Zara,124.62,125.20
15,True,False,399.l.301184.t.8,Ben,159.56,134.46,False,399.l.301184.t.10,Steven,134.76,132.11
16,True,False,399.l.301184.t.8,Ben,159.8,130.06,False,399.l.301184.t.7,Tony F,139.78,135.22
1,False,False,399.l.301184.t.7,Tony F,118.76,131.94,False,399.l.301184.t.1,WH,138.26,132.77
2,False,False,399.l.301184.t.7,Tony F,121.48,133.24,False,399.l.301184.t.9,Joe,111.14,124.26
3,False,False,399.l.301184.t.7,Tony F,112.54,130.99,False,399.l.301184.t.6,Jeff Big,128.78,124.11
4,False,False,399.l.301184.t.7,Tony F,101.7,129.04,False,399.l.301184.t.10,Steven,132.20,139.79
5,False,False,399.l.301184.t.7,Tony F,102.62,125.75,False,399.l.301184.t.8,Ben,102.22,133.90
6,False,False,399.l.301184.t.7,Tony F,88.94,121.32,False,399.l.301184.t.3,Alex Zara,104.00,133.68
7,False,False,399.l.301184.t.7,Tony F,210.16,120.14,False,399.l.301184.t.5,Brian,99.42,114.13
8,False,False,399.l.301184.t.7,Tony F,151.86,128.06,False,399.l.301184.t.2,Andrew,120.24,137.90
9,False,False,399.l.301184.t.7,Tony F,129.66,140.79,False,399.l.301184.t.12,Zach,108.28,129.16
10,False,False,399.l.301184.t.7,Tony F,123.34,136.83,False,399.l.301184.t.4,august,94.72,128.52
11,False,False,399.l.301184.t.7,Tony F,131.04,139.14,False,399.l.301184.t.11,nate,94.44,117.01
12,False,False,399.l.301184.t.7,Tony F,155.8,139.79,False,399.l.301184.t.1,WH,71.20,123.10
13,False,False,399.l.301184.t.7,Tony F,165.58,143.79,False,399.l.301184.t.9,Joe,81.62,107.61
14,True,False,399.l.301184.t.7,Tony F,139.14,143.57,False,399.l.301184.t.5,Brian,113.00,118.04
15,True,False,399.l.301184.t.7,Tony F,144.9,142.49,False,399.l.301184.t.2,Andrew,141.02,143.51
16,True,False,399.l.301184.t.7,Tony F,139.78,135.22,False,399.l.301184.t.8,Ben,159.80,130.06
1,False,False,399.l.301184.t.10,Steven,117.82,140.81,False,399.l.301184.t.3,Alex Zara,122.44,129.23
2,False,False,399.l.301184.t.10,Steven,124.12,131.88,False,399.l.301184.t.5,Brian,136.14,131.08
3,False,False,399.l.301184.t.10,Steven,154.76,141.21,False,399.l.301184.t.2,Andrew,125.52,122.26
4,False,False,399.l.301184.t.10,Steven,132.2,139.79,False,399.l.301184.t.7,Tony F,101.70,129.04
5,False,False,399.l.301184.t.10,Steven,159.06,148.38,False,399.l.301184.t.4,august,106.50,116.29
6,False,False,399.l.301184.t.10,Steven,111.22,128.25,False,399.l.301184.t.11,nate,142.44,125.67
7,False,False,399.l.301184.t.10,Steven,118.16,139.9,False,399.l.301184.t.1,WH,130.00,125.52
8,False,False,399.l.301184.t.10,Steven,159.72,133.49,False,399.l.301184.t.9,Joe,82.16,112.66
9,False,False,399.l.301184.t.10,Steven,145.44,139.56,False,399.l.301184.t.6,Jeff Big,125.74,127.95
10,False,False,399.l.301184.t.10,Steven,124.08,130.87,False,399.l.301184.t.12,Zach,104.04,134.19
11,False,False,399.l.301184.t.10,Steven,137.0,138.31,False,399.l.301184.t.8,Ben,160.50,123.66
12,False,False,399.l.301184.t.10,Steven,124.72,137.21,False,399.l.301184.t.3,Alex Zara,131.88,125.30
13,False,False,399.l.301184.t.10,Steven,126.26,126.51,False,399.l.301184.t.5,Brian,118.10,124.65
14,True,False,399.l.301184.t.10,Steven,126.02,132.4,False,399.l.301184.t.3,Alex Zara,123.32,130.31
15,True,False,399.l.301184.t.10,Steven,134.76,132.11,False,399.l.301184.t.8,Ben,159.56,134.46
16,True,False,399.l.301184.t.10,Steven,191.26,132.75,False,399.l.301184.t.2,Andrew,179.14,147.20
1,False,False,399.l.301184.t.2,Andrew,167.16,129.0,False,399.l.301184.t.9,Joe,114.30,118.35
2,False,False,399.l.301184.t.2,Andrew,139.2,133.83,False,399.l.301184.t.6,Jeff Big,134.20,126.37
3,False,False,399.l.301184.t.2,Andrew,125.52,122.26,False,399.l.301184.t.10,Steven,154.76,141.21
4,False,False,399.l.301184.t.2,Andrew,125.58,128.57,False,399.l.301184.t.8,Ben,132.42,148.93
5,False,False,399.l.301184.t.2,Andrew,158.82,126.58,False,399.l.301184.t.3,Alex Zara,106.30,125.61
6,False,False,399.l.301184.t.2,Andrew,81.0,133.03,False,399.l.301184.t.5,Brian,118.84,120.14
7,False,False,399.l.301184.t.2,Andrew,168.92,134.07,False,399.l.301184.t.12,Zach,131.60,120.56
8,False,False,399.l.301184.t.2,Andrew,120.24,137.9,False,399.l.301184.t.7,Tony F,151.86,128.06
9,False,False,399.l.301184.t.2,Andrew,174.0,127.44,False,399.l.301184.t.4,august,101.90,115.82
10,False,False,399.l.301184.t.2,Andrew,110.0,120.48,False,399.l.301184.t.11,nate,91.96,111.04
11,False,False,399.l.301184.t.2,Andrew,112.24,122.86,False,399.l.301184.t.1,WH,90.12,120.63
12,False,False,399.l.301184.t.2,Andrew,170.46,136.4,False,399.l.301184.t.9,Joe,135.30,118.11
13,False,False,399.l.301184.t.2,Andrew,148.5,130.98,False,399.l.301184.t.6,Jeff Big,143.42,107.28
15,True,False,399.l.301184.t.2,Andrew,141.02,143.51,False,399.l.301184.t.7,Tony F,144.90,142.49
16,True,False,399.l.301184.t.2,Andrew,179.14,147.2,False,399.l.301184.t.10,Steven,191.26,132.75
1,False,False,399.l.301184.t.3,Alex Zara,122.44,129.23,False,399.l.301184.t.10,Steven,117.82,140.81
2,False,False,399.l.301184.t.3,Alex Zara,128.78,134.87,False,399.l.301184.t.8,Ben,158.00,136.34
3,False,False,399.l.301184.t.3,Alex Zara,159.4,141.89,False,399.l.301184.t.12,Zach,157.82,133.55
4,False,False,399.l.301184.t.3,Alex Zara,148.44,142.22,False,399.l.301184.t.5,Brian,119.60,133.29
5,False,False,399.l.301184.t.3,Alex Zara,106.3,125.61,False,399.l.301184.t.2,Andrew,158.82,126.58
6,False,False,399.l.301184.t.3,Alex Zara,104.0,133.68,False,399.l.301184.t.7,Tony F,88.94,121.32
7,False,False,399.l.301184.t.3,Alex Zara,127.3,132.69,False,399.l.301184.t.4,august,97.76,110.67
8,False,False,399.l.301184.t.3,Alex Zara,120.54,123.86,False,399.l.301184.t.11,nate,105.82,127.82
9,False,False,399.l.301184.t.3,Alex Zara,104.08,124.69,False,399.l.301184.t.1,WH,72.94,120.35
10,False,False,399.l.301184.t.3,Alex Zara,81.22,114.68,False,399.l.301184.t.9,Joe,98.66,120.16
11,False,False,399.l.301184.t.3,Alex Zara,140.12,128.79,False,399.l.301184.t.6,Jeff Big,132.68,124.42
12,False,False,399.l.301184.t.3,Alex Zara,131.88,125.3,False,399.l.301184.t.10,Steven,124.72,137.21
13,False,False,399.l.301184.t.3,Alex Zara,124.62,125.2,False,399.l.301184.t.8,Ben,142.40,134.57
14,True,False,399.l.301184.t.3,Alex Zara,123.32,130.31,False,399.l.301184.t.10,Steven,126.02,132.40
15,True,False,399.l.301184.t.3,Alex Zara,135.96,131.96,False,399.l.301184.t.5,Brian,120.84,120.91
1,False,False,399.l.301184.t.5,Brian,155.86,127.24,False,399.l.301184.t.6,Jeff Big,142.84,137.03
2,False,False,399.l.301184.t.5,Brian,136.14,131.08,False,399.l.301184.t.10,Steven,124.12,131.88
3,False,False,399.l.301184.t.5,Brian,110.9,141.23,False,399.l.301184.t.8,Ben,175.44,139.24
4,False,False,399.l.301184.t.5,Brian,119.6,133.29,False,399.l.301184.t.3,Alex Zara,148.44,142.22
5,False,False,399.l.301184.t.5,Brian,145.3,126.19,False,399.l.301184.t.12,Zach,84.70,122.13
6,False,False,399.l.301184.t.5,Brian,118.84,120.14,False,399.l.301184.t.2,Andrew,81.00,133.03
7,False,False,399.l.301184.t.5,Brian,99.42,114.13,False,399.l.301184.t.7,Tony F,210.16,120.14
8,False,False,399.l.301184.t.5,Brian,73.84,126.14,False,399.l.301184.t.4,august,159.04,118.44
9,False,False,399.l.301184.t.5,Brian,112.8,120.49,False,399.l.301184.t.11,nate,111.30,123.59
10,False,False,399.l.301184.t.5,Brian,114.68,129.21,False,399.l.301184.t.1,WH,113.88,113.77
11,False,False,399.l.301184.t.5,Brian,120.74,124.97,False,399.l.301184.t.9,Joe,100.66,113.78
12,False,False,399.l.301184.t.5,Brian,115.88,113.12,False,399.l.301184.t.6,Jeff Big,136.12,114.36
13,False,False,399.l.301184.t.5,Brian,118.1,124.65,False,399.l.301184.t.10,Steven,126.26,126.51
14,True,False,399.l.301184.t.5,Brian,113.0,118.04,False,399.l.301184.t.7,Tony F,139.14,143.57
15,True,False,399.l.301184.t.5,Brian,120.84,120.91,False,399.l.301184.t.3,Alex Zara,135.96,131.96
1,False,False,399.l.301184.t.11,nate,134.5,137.14,False,399.l.301184.t.4,august,127.88,135.95
2,False,False,399.l.301184.t.11,nate,89.86,138.91,False,399.l.301184.t.12,Zach,129.08,126.20
3,False,False,399.l.301184.t.11,nate,133.78,118.88,False,399.l.301184.t.1,WH,104.90,135.45
4,False,False,399.l.301184.t.11,nate,122.32,133.2,False,399.l.301184.t.9,Joe,123.42,122.72
5,False,False,399.l.301184.t.11,nate,90.4,119.46,False,399.l.301184.t.6,Jeff Big,140.24,121.18
6,False,False,399.l.301184.t.11,nate,142.44,125.67,False,399.l.301184.t.10,Steven,111.22,128.25
7,False,False,399.l.301184.t.11,nate,96.62,116.69,False,399.l.301184.t.8,Ben,118.28,133.12
8,False,False,399.l.301184.t.11,nate,105.82,127.82,False,399.l.301184.t.3,Alex Zara,120.54,123.86
9,False,False,399.l.301184.t.11,nate,111.3,123.59,False,399.l.301184.t.5,Brian,112.80,120.49
10,False,False,399.l.301184.t.11,nate,91.96,111.04,False,399.l.301184.t.2,Andrew,110.00,120.48
11,False,False,399.l.301184.t.11,nate,94.44,117.01,False,399.l.301184.t.7,Tony F,131.04,139.14
12,False,False,399.l.301184.t.11,nate,136.3,120.65,False,399.l.301184.t.4,august,89.10,125.79
13,False,False,399.l.301184.t.11,nate,116.48,120.08,False,399.l.301184.t.12,Zach,141.46,126.06
14,True,True,399.l.301184.t.11,nate,142.32,112.0,False,399.l.301184.t.1,WH,108.90,121.68
15,True,True,399.l.301184.t.11,nate,114.32,118.48,False,399.l.301184.t.4,august,78.44,117.49
16,True,True,399.l.301184.t.11,nate,134.42,116.68,False,399.l.301184.t.12,Zach,75.84,101.65
1,False,False,399.l.301184.t.12,Zach,85.9,135.79,False,399.l.301184.t.8,Ben,132.18,130.76
2,False,False,399.l.301184.t.12,Zach,129.08,126.2,False,399.l.301184.t.11,nate,89.86,138.91
3,False,False,399.l.301184.t.12,Zach,157.82,133.55,False,399.l.301184.t.3,Alex Zara,159.40,141.89
4,False,False,399.l.301184.t.12,Zach,112.64,131.2,False,399.l.301184.t.1,WH,129.34,135.96
5,False,False,399.l.301184.t.12,Zach,84.7,122.13,False,399.l.301184.t.5,Brian,145.30,126.19
6,False,False,399.l.301184.t.12,Zach,144.26,112.42,False,399.l.301184.t.9,Joe,122.32,117.70
7,False,False,399.l.301184.t.12,Zach,131.6,120.56,False,399.l.301184.t.2,Andrew,168.92,134.07
